postcode,zone
2130,SYDNEY
2131,SYDNEY
2132,SYDNEY
2133,SYDNEY
2133,SYDNEY
2134,SYDNEY
2134,SYDNEY
2135,SYDNEY
2136,SYDNEY
2136,SYDNEY
2136,SYDNEY
2137,SYDNEY
2137,SYDNEY
2137,SYDNEY
2137,SYDNEY
2137,SYDNEY
2138,SYDNEY
2138,SYDNEY
2138,SYDNEY
2139,SYDNEY
2140,SYDNEY
2140,SYDNEY
2140,SYDNEY
2141,SYDNEY
2141,SYDNEY
2141,SYDNEY
2141,SYDNEY
2142,SYDNEY
2142,SYDNEY
2142,SYDNEY
2142,SYDNEY
2142,SYDNEY
2143,SYDNEY
2143,SYDNEY
2143,SYDNEY
2144,SYDNEY
2144,SYDNEY
2145,SYDNEY
2145,SYDNEY
2145,SYDNEY
2145,SYDNEY
2145,SYDNEY
2145,SYDNEY
2145,SYDNEY
2145,SYDNEY
2146,SYDNEY
2146,SYDNEY
2146,SYDNEY
2147,SYDNEY
2147,SYDNEY
2147,SYDNEY
2147,SYDNEY
2148,SYDNEY
2148,SYDNEY
2148,SYDNEY
2148,SYDNEY
2148,SYDNEY
2148,SYDNEY
2148,SYDNEY
2150,SYDNEY
2150,SYDNEY
2150,SYDNEY
2151,SYDNEY
2151,SYDNEY
2152,SYDNEY
2153,SYDNEY
2153,SYDNEY
2153,SYDNEY
2153,SYDNEY
2154,SYDNEY
2155,SYDNEY
2155,SYDNEY
2155,SYDNEY
2155,SYDNEY
2156,SYDNEY
2156,SYDNEY
2156,SYDNEY
2157,SYDNEY
2157,SYDNEY
2157,SYDNEY
2157,SYDNEY
2158,SYDNEY
2158,SYDNEY
2158,SYDNEY
2159,SYDNEY
2159,SYDNEY
2159,SYDNEY
2159,SYDNEY
2160,SYDNEY
2160,SYDNEY
2161,SYDNEY
2161,SYDNEY
2161,SYDNEY
2161,SYDNEY
2162,SYDNEY
2162,SYDNEY
2163,SYDNEY
2163,SYDNEY
2163,SYDNEY
2164,SYDNEY
2164,SYDNEY
2164,SYDNEY
2164,SYDNEY
2165,SYDNEY
2165,SYDNEY
2165,SYDNEY
2165,SYDNEY
2166,SYDNEY
2166,SYDNEY
2166,SYDNEY
2166,SYDNEY
2166,SYDNEY
2167,SYDNEY
2168,SYDNEY
2168,SYDNEY
2168,SYDNEY
2168,SYDNEY
2168,SYDNEY
2168,SYDNEY
2168,SYDNEY
2168,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2170,SYDNEY
2171,SYDNEY
2171,SYDNEY
2171,SYDNEY
2171,SYDNEY
2172,SYDNEY
2172,SYDNEY
2172,SYDNEY
2173,SYDNEY
2173,SYDNEY
2174,SYDNEY
2174,SYDNEY
2175,SYDNEY
2176,SYDNEY
2176,SYDNEY
2176,SYDNEY
2176,SYDNEY
2176,SYDNEY
2176,SYDNEY
2176,SYDNEY
2177,SYDNEY
2177,SYDNEY
2178,SYDNEY
2178,SYDNEY
2178,SYDNEY
2179,SYDNEY
2179,SYDNEY
2190,SYDNEY
2190,SYDNEY
2190,SYDNEY
2191,SYDNEY
2192,SYDNEY
2193,SYDNEY
2193,SYDNEY
2193,SYDNEY
2194,SYDNEY
2195,SYDNEY
2195,SYDNEY
2196,SYDNEY
2196,SYDNEY
2197,SYDNEY
2198,SYDNEY
2199,SYDNEY
2199,SYDNEY
2200,SYDNEY
2200,SYDNEY
2200,SYDNEY
2200,SYDNEY
2200,SYDNEY
2200,SYDNEY
2200,SYDNEY
2203,SYDNEY
2204,SYDNEY
2204,SYDNEY
2204,SYDNEY
2205,SYDNEY
2205,SYDNEY
2205,SYDNEY
2206,SYDNEY
2206,SYDNEY
2206,SYDNEY
2207,SYDNEY
2207,SYDNEY
2207,SYDNEY
2207,SYDNEY
2207,SYDNEY
2208,SYDNEY
2208,SYDNEY
2209,SYDNEY
2209,SYDNEY
2210,SYDNEY
2210,SYDNEY
2210,SYDNEY
2210,SYDNEY
2211,SYDNEY
2211,SYDNEY
2212,SYDNEY
2212,SYDNEY
2212,SYDNEY
2213,SYDNEY
2213,SYDNEY
2213,SYDNEY
2214,SYDNEY
2216,SYDNEY
2216,SYDNEY
2216,SYDNEY
2216,SYDNEY
2217,SYDNEY
2217,SYDNEY
2217,SYDNEY
2217,SYDNEY
2217,SYDNEY
2217,SYDNEY
2218,SYDNEY
2218,SYDNEY
2219,SYDNEY
2219,SYDNEY
2219,SYDNEY
2220,SYDNEY
2220,SYDNEY
2220,SYDNEY
2221,SYDNEY
2221,SYDNEY
2221,SYDNEY
2221,SYDNEY
2221,SYDNEY
2222,SYDNEY
2223,SYDNEY
2223,SYDNEY
2224,SYDNEY
2224,SYDNEY
2224,SYDNEY
2224,SYDNEY
2225,SYDNEY
2225,SYDNEY
2226,SYDNEY
2226,SYDNEY
2226,SYDNEY
2227,SYDNEY
2227,SYDNEY
2228,SYDNEY
2228,SYDNEY
2229,SYDNEY
2229,SYDNEY
2229,SYDNEY
2229,SYDNEY
2229,SYDNEY
2229,SYDNEY
2230,SYDNEY
2230,SYDNEY
2230,SYDNEY
2230,SYDNEY
2230,SYDNEY
2231,SYDNEY
2232,SYDNEY
2232,SYDNEY
2232,SYDNEY
2232,SYDNEY
2232,SYDNEY
2232,SYDNEY
2232,SYDNEY
2232,SYDNEY
2233,SYDNEY
2233,SYDNEY
2233,SYDNEY
2233,SYDNEY
2233,SYDNEY
2234,SYDNEY
2234,SYDNEY
2234,SYDNEY
2234,SYDNEY
2234,SYDNEY
2234,SYDNEY
2234,SYDNEY
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2250,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2251,NSWA Zone
2252,NSWA Zone
2256,NSWA Zone
2256,NSWA Zone
2256,NSWA Zone
2256,NSWA Zone
2256,NSWA Zone
2256,NSWA Zone
2256,NSWA Zone
2256,NSWA Zone
2256,NSWA Zone
2256,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2257,NSWA Zone
2258,NSWA Zone
2258,NSWA Zone
2258,NSWA Zone
2258,NSWA Zone
2258,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2259,NSWA Zone
2260,NSWA Zone
2260,NSWA Zone
2260,NSWA Zone
2260,NSWA Zone
2260,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2261,NSWA Zone
2262,NSWB Zone
2262,NSWB Zone
2262,NSWB Zone
2262,NSWB Zone
2262,NSWB Zone
2262,NSWB Zone
2262,NSWB Zone
2263,NSWB Zone
2263,NSWB Zone
2263,NSWB Zone
2263,NSWB Zone
2263,NSWB Zone
2263,NSWB Zone
2263,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2264,NSWB Zone
2265,NSWB Zone
2265,NSWB Zone
2267,NSWB Zone
2278,NSWB Zone
2278,NSWB Zone
2278,NSWB Zone
2280,NSWB Zone
2280,NSWB Zone
2280,NSWB Zone
2280,NSWB Zone
2280,NSWB Zone
2280,NSWB Zone
2280,NSWB Zone
2280,NSWB Zone
2281,NSWB Zone
2281,NSWB Zone
2281,NSWB Zone
2281,NSWB Zone
2281,NSWB Zone
2281,NSWB Zone
2281,NSWB Zone
2281,NSWB Zone
2281,NSWB Zone
2281,NSWB Zone
2282,NSWB Zone
2282,NSWB Zone
2282,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2283,NSWB Zone
2284,NSWB Zone
2284,NSWB Zone
2284,NSWB Zone
2284,NSWB Zone
2284,NSWB Zone
2284,NSWB Zone
2284,NSWB Zone
2285,NSWB Zone
2285,NSWB Zone
2285,NSWB Zone
2285,NSWB Zone
2285,NSWB Zone
2285,NSWB Zone
2285,NSWB Zone
2286,NSWB Zone
2286,NSWB Zone
2286,NSWB Zone
2287,NSWB Zone
2287,NSWB Zone
2287,NSWB Zone
2287,NSWB Zone
2287,NSWB Zone
2287,NSWB Zone
2287,NSWB Zone
2287,NSWB Zone
2287,NSWB Zone
2289,NSWB Zone
2289,NSWB Zone
2289,NSWB Zone
2289,NSWB Zone
2289,NSWB Zone
2289,NSWB Zone
2289,NSWB Zone
2290,NSWB Zone
2290,NSWB Zone
2290,NSWB Zone
2290,NSWB Zone
2290,NSWB Zone
2290,NSWB Zone
2290,NSWB Zone
2290,NSWB Zone
2290,NSWB Zone
2290,NSWB Zone
2291,NSWB Zone
2291,NSWB Zone
2291,NSWB Zone
2292,NSWB Zone
2292,NSWB Zone
2293,NSWB Zone
2293,NSWB Zone
2294,NSWB Zone
2295,NSWB Zone
2295,NSWB Zone
2296,NSWB Zone
2297,NSWB Zone
2298,NSWB Zone
2298,NSWB Zone
2298,NSWB Zone
2299,NSWB Zone
2299,NSWB Zone
2299,NSWB Zone
2300,NSWB Zone
2300,NSWB Zone
2300,NSWB Zone
2300,NSWB Zone
2300,NSWB Zone
2302,NSWB Zone
2303,NSWB Zone
2303,NSWB Zone
2303,NSWB Zone
2304,NSWB Zone
2304,NSWB Zone
2304,NSWB Zone
2304,NSWB Zone
2304,NSWB Zone
2304,NSWB Zone
2304,NSWB Zone
2305,NSWB Zone
2305,NSWB Zone
2305,NSWB Zone
2306,NSWB Zone
2307,NSWB Zone
2308,NSWB Zone
2308,NSWB Zone
2309,NSWB Zone
2310,NSWB Zone
2311,NSWC Zone
2311,NSWC Zone
2311,NSWC Zone
2311,NSWC Zone
2311,NSWC Zone
2311,NSWC Zone
2311,NSWC Zone
2311,NSWC Zone
2311,NSWC Zone
2311,NSWC Zone
2311,NSWC Zone
2312,NSWC Zone
2314,NSWC Zone
2315,NSWC Zone
2315,NSWC Zone
2315,NSWC Zone
2315,NSWC Zone
2315,NSWC Zone
2316,NSWB Zone
2316,NSWB Zone
2316,NSWB Zone
2316,NSWB Zone
2316,NSWB Zone
2316,NSWB Zone
2317,NSWB Zone
2317,NSWB Zone
2318,NSWB Zone
2318,NSWB Zone
2318,NSWB Zone
2318,NSWB Zone
2318,NSWB Zone
2318,NSWB Zone
2318,NSWB Zone
2319,NSWB Zone
2319,NSWB Zone
2319,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2320,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
2321,NSWB Zone
